,VHscale,COVIDthreat,prevent_behav,trust-science,MFQ_HARM_AVGscale,MFQ_FAIRNESS_AVGscale,MFQ_INGROUP_AVGscale,MFQ_AUTHORITY_AVGscale,MFQ_PURITY_AVGscale,MFQ_PROGRESSIVISMscale
0,2.0,3.833333333,3.909090909,1.523809524,4.0,4.333333333,0.0,1.0,0.666666667,3.611111111
1,3.333333333,2.666666667,2.818181818,1.152380952,3.333333333,2.833333333,2.333333333,1.666666667,2.166666667,1.027777778
2,1.222222222,4.333333333,3.818181818,1.571428571,3.833333333,5.0,0.666666667,0.333333333,0.166666667,4.027777778
3,2.333333333,3.166666667,2.872727273,-0.428571429,3.833333333,3.166666667,2.5,3.333333333,2.166666667,0.833333333
4,1.444444444,4.833333333,3.0,1.476190476,4.333333333,4.833333333,2.0,0.833333333,0.166666667,3.583333333
5,1.111111111,4.333333333,3.909090909,1.619047619,4.833333333,4.5,1.5,1.833333333,1.0,3.222222222
6,4.333333333,2.666666667,2.090909091,0.4,5.0,4.666666667,2.5,2.5,5.0,1.5
7,3.0,3.333333333,3.272727273,0.923809524,3.333333333,2.833333333,1.833333333,1.166666667,1.666666667,1.527777778
8,2.444444444,4.166666667,3.363636364,0.085714286,4.666666667,4.0,3.333333333,4.666666667,4.5,0.166666667
9,3.222222222,3.5,2.781818182,0.380952381,3.666666667,4.0,2.666666667,3.0,2.833333333,1.0
10,1.888888889,4.166666667,3.636363636,-0.171428572,3.666666667,4.5,1.5,2.0,1.0,2.583333333
11,3.888888889,2.0,2.454545455,-0.6,4.166666667,3.333333333,3.0,2.666666667,1.5,1.361111111
12,4.888888889,3.833333333,3.909090909,-2.0,4.166666667,3.833333333,3.666666667,4.333333333,4.666666667,-0.222222222
13,4.666666667,2.666666667,2.181818182,-1.047619048,4.333333333,4.5,2.333333333,3.666666667,4.166666667,1.027777778
14,2.777777778,3.166666667,2.363636364,0.19047619,3.166666667,3.833333333,2.833333333,3.166666667,3.0,0.5
15,3.777777778,3.666666667,2.090909091,-0.523809524,2.833333333,2.166666667,2.333333333,3.333333333,3.166666667,-0.444444444
16,1.0,3.833333333,3.181818182,0.952380952,3.5,4.0,3.166666667,1.666666667,1.0,1.805555556
17,1.0,4.333333333,3.909090909,1.619047619,4.0,3.0,0.166666667,0.166666667,0.666666667,3.166666667
18,3.666666667,2.333333333,2.363636364,-0.333333333,3.333333333,3.0,2.333333333,2.0,1.833333333,1.111111111
19,1.333333333,4.333333333,3.636363636,1.857142857,4.033333333,4.166666667,3.833333333,4.0,4.666666667,2.322222222
20,3.333333333,1.666666667,2.272727273,0.523809524,2.0,3.0,1.166666667,1.5,1.833333333,1.0
21,1.777777778,4.333333333,3.454545455,1.619047619,4.166666667,4.166666667,1.166666667,0.833333333,2.166666667,2.777777778
22,3.333333333,3.5,2.818181818,0.666666667,2.833333333,3.333333333,2.5,3.166666667,3.5,0.027777778
23,1.555555556,4.0,3.636363636,1.333333333,4.666666667,3.5,1.0,2.0,1.166666667,2.694444444
24,2.777777778,4.333333333,3.727272727,1.904761905,3.5,3.333333333,0.666666667,1.666666667,1.833333333,2.027777778
25,1.888888889,3.5,3.454545455,1.142857143,3.833333333,3.833333333,1.5,2.5,4.666666667,0.944444444
26,3.555555556,2.333333333,3.0,-0.523809524,2.833333333,2.666666667,3.666666667,3.0,3.5,-0.638888889
27,3.888888889,2.333333333,2.272727273,0.809523809,2.5,2.833333333,3.666666667,2.666666667,1.666666667,4.44e-16
28,3.0,2.833333333,2.454545455,-0.00952381,1.333333333,2.0,3.5,3.166666667,1.833333333,-1.166666667
29,2.666666667,4.333333333,4.0,-0.00952381,5.0,4.5,2.333333333,2.0,2.0,2.638888889
30,3.222222222,2.666666667,2.909090909,-0.047619048,2.5,2.0,2.666666667,2.5,3.666666667,-0.694444444
31,3.0,2.0,2.090909091,0.19047619,4.333333333,3.666666667,3.166666667,4.5,3.333333333,0.333333333
32,4.333333333,1.5,2.181818182,-0.80952381,3.5,3.833333333,1.666666667,3.666666667,5.0,0.222222222
33,1.222222222,4.0,2.909090909,1.380952381,3.5,5.0,0.666666667,0.0,0.166666667,3.972222222
34,4.0,2.333333333,2.363636364,-0.476190476,2.5,3.166666667,2.833333333,2.5,3.333333333,-0.055555556
35,1.111111111,5.0,3.727272727,0.857142857,4.333333333,4.666666667,0.333333333,1.5,0.0,3.888888889
36,3.888888889,2.5,2.818181818,-0.142857143,0.166666667,0.333333333,0.666666667,1.333333333,1.0,-0.75
37,3.777777778,2.166666667,3.181818182,0.038095238,0.666666667,1.666666667,1.0,1.0,0.833333333,0.222222222
38,3.444444444,2.166666667,2.181818182,-0.666666667,3.166666667,2.833333333,3.166666667,4.166666667,3.666666667,-0.666666667
39,4.666666667,3.0,3.545454545,0.2,3.5,3.666666667,2.166666667,2.166666667,3.5,0.972222222
40,2.0,4.166666667,2.545454545,0.619047619,3.333333333,3.333333333,2.166666667,2.333333333,1.166666667,1.444444444
41,3.111111111,3.333333333,2.090909091,-0.095238095,3.5,3.166666667,2.166666667,3.5,1.666666667,0.888888889
42,2.666666667,2.833333333,3.636363636,1.285714286,4.333333333,3.833333333,3.5,2.5,1.166666667,1.694444444
43,1.666666667,4.166666667,3.818181818,0.333333333,4.333333333,4.166666667,2.333333333,3.166666667,1.733333333,1.005555555
44,1.111111111,5.166666667,3.327272727,1.857142857,4.166666667,4.333333333,1.333333333,2.666666667,0.166666667,2.861111111
45,2.888888889,2.666666667,1.727272727,0.857142857,3.833333333,3.5,2.666666667,2.8,3.333333333,1.472222222
46,2.0,4.333333333,3.727272727,0.771428571,4.166666667,3.166666667,3.333333333,2.333333333,0.833333333,1.5
47,3.0,2.166666667,3.090909091,0.619047619,1.833333333,3.5,3.0,2.666666667,1.666666667,0.222222222
48,2.0,3.833333333,2.727272727,0.19047619,5.0,4.166666667,4.166666667,3.166666667,3.166666667,1.083333333
49,2.333333333,4.666666667,3.636363636,0.857142857,4.5,4.0,1.666666667,2.5,1.166666667,2.472222222
50,3.111111111,3.5,3.636363636,-0.238095238,3.333333333,3.0,2.0,1.666666667,2.166666667,1.222222222
51,1.444444444,4.166666667,3.909090909,0.504761905,3.666666667,3.0,3.0,3.5,4.333333333,-0.277777778
